PWM_Right,PWM_Left,RPM_Right,RPM_Left
100,100,,
100,100,,
100,100,,
100,100,0.0,0.0
100,100,,
100,100,0.0,0.0
100,100,67.91,128.57
100,100,171.43,178.57
100,100,157.14,214.29
100,100,171.43,214.29
100,100,157.14,192.86
100,100,164.29,178.57
100,100,164.29,185.71
100,100,157.14,164.29
100,100,164.29,185.71
100,100,164.29,171.43
100,100,157.14,207.14
100,100,164.29,185.71
100,100,157.14,192.86
100,100,164.29,171.43
100,100,157.14,228.57
100,100,164.29,192.86
100,100,157.14,185.71
100,100,164.29,192.86
100,100,157.14,200.0
100,100,164.29,185.71
100,100,164.29,185.71
100,100,157.14,178.57
100,100,157.14,200.0
100,100,164.29,214.29
100,100,164.29,192.86
100,100,157.14,200.0
100,100,164.29,192.86
100,100,157.14,200.0
100,100,164.29,171.43
