PWM_Right,PWM_Left,RPM_Right,RPM_Left
75,75,0.0,0.0
75,75,7.14,8.57
75,75,31.43,31.43
75,75,55.71,54.29
75,75,78.57,77.14
75,75,102.86,100.0
75,75,120.0,114.29
75,75,118.57,115.71
80,80,118.57,115.71
80,80,121.43,117.14
80,80,122.86,118.57
80,80,124.29,121.43
80,80,127.14,121.43
80,80,128.57,124.29
80,80,128.57,125.71
80,80,130.0,125.71
85,85,130.0,125.71
85,85,131.43,127.14
85,85,132.86,128.57
85,85,135.71,130.0
85,85,135.71,132.86
85,85,138.57,134.29
85,85,138.57,135.71
85,85,140.0,135.71
90,90,138.57,135.71
90,90,140.0,135.71
90,90,140.0,138.57
90,90,142.86,140.0
90,90,142.86,141.43
90,90,144.29,144.29
90,90,145.71,145.71
90,90,145.71,144.29
95,95,144.29,145.71
95,95,145.71,147.14
95,95,148.57,147.14
95,95,150.0,148.57
95,95,152.86,151.43
95,95,155.71,151.43
95,95,157.14,151.43
95,95,158.57,152.86
100,100,158.57,152.86
100,100,158.57,152.86
100,100,160.0,155.71
100,100,161.43,157.14
100,100,162.86,158.57
100,100,164.29,160.0
100,100,165.71,161.43
100,100,165.71,160.0
105,105,165.71,160.0
105,105,165.71,161.43
105,105,167.14,162.86
105,105,168.57,162.86
105,105,171.43,165.71
105,105,172.86,167.14
105,105,172.86,167.14
105,105,172.86,167.14
110,110,174.29,167.14
110,110,172.86,167.14
110,110,174.29,168.57
110,110,177.14,170.0
110,110,178.57,171.43
110,110,178.57,172.86
110,110,180.0,172.86
110,110,180.0,174.29
115,115,178.57,172.86
115,115,180.0,174.29
115,115,180.0,174.29
115,115,181.43,175.71
115,115,182.86,175.71
115,115,182.86,177.14
115,115,182.86,177.14
115,115,184.29,180.0
120,120,182.86,180.0
120,120,182.86,180.0
120,120,185.71,181.43
120,120,185.71,182.86
120,120,185.71,182.86
120,120,188.57,184.29
120,120,188.57,185.71
120,120,187.14,184.29
125,125,188.57,184.29
125,125,190.0,185.71
125,125,188.57,185.71
125,125,190.0,187.14
125,125,191.43,188.57
125,125,191.43,188.57
125,125,191.43,188.57
125,125,192.86,188.57
130,130,192.86,188.57
130,130,192.86,188.57
