PWM_Right,PWM_Left,RPM_Right,RPM_Left
150,150,0.0,0.0
150,150,0.0,0.0
150,150,0.0,0.0
150,150,0.0,0.0
150,150,0.0,0.0
150,150,0.0,0.0
150,150,264.29,264.29
150,150,178.57,178.57
150,150,121.43,121.43
150,150,114.29,121.43
150,150,150.0,135.71
150,150,135.71,121.43
150,150,121.43,164.29
150,150,164.29,135.71
150,150,142.86,142.86
150,150,121.43,135.71
150,150,185.71,157.14
150,150,150.0,135.71
150,150,121.43,157.14
150,150,185.71,135.71
150,150,142.86,164.29
150,150,121.43,142.86
150,150,185.71,150.0
150,150,142.86,135.71
150,150,128.57,178.57
150,150,157.14,142.86
150,150,142.86,150.0
150,150,142.86,128.57
150,150,142.86,185.71
150,150,157.14,142.86
150,150,135.71,135.71
150,150,164.29,164.29
150,150,142.86,135.71
150,150,157.14,164.29
150,150,135.71,135.71
150,150,164.29,164.29
150,150,142.86,135.71
150,150,157.14,164.29
150,150,135.71,135.71
150,150,164.29,157.14
150,150,142.86,142.86
150,150,157.14,142.86
150,150,135.71,164.29
150,150,164.29,128.57
150,150,150.0,185.71
150,150,128.57,142.86
150,150,185.71,142.86
150,150,150.0,150.0
150,150,121.43,128.57
150,150,192.86,185.71
150,150,150.0,142.86
150,150,128.57,142.86
150,150,164.29,142.86
150,150,142.86,157.14
150,150,135.71,128.57
150,150,157.14,185.71
150,150,142.86,142.86
150,150,142.86,142.86
150,150,157.14,150.0
150,150,135.71,135.71
150,150,171.43,164.29
150,150,142.86,142.86
150,150,150.0,150.0
150,150,135.71,135.71
150,150,171.43,178.57
150,150,142.86,142.86
150,150,150.0,142.86
150,150,135.71,157.14
150,150,171.43,128.57
150,150,150.0,185.71
150,150,121.43,150.0
150,150,200.0,121.43
150,150,150.0,185.71
150,150,128.57,150.0
150,150,164.29,128.57
150,150,142.86,164.29
150,150,135.71,142.86
150,150,164.29,142.86
150,150,135.71,142.86
150,150,164.29,157.14
150,150,142.86,135.71
150,150,142.86,164.29
150,150,150.0,142.86
150,150,135.71,150.0
150,150,171.43,142.86
150,150,142.86,157.14
150,150,150.0,135.71
150,150,142.86,171.43
150,150,150.0,142.86
150,150,142.86,150.0
150,150,164.29,142.86
150,150,135.71,150.0
150,150,171.43,150.0
150,150,142.86,142.86
150,150,150.0,164.29
150,150,142.86,135.71
150,150,150.0,171.43
150,150,142.86,150.0
150,150,164.29,128.57
150,150,135.71,185.71
150,150,171.43,142.86
150,150,142.86,142.86
150,150,150.0,150.0
150,150,142.86,135.71
150,150,150.0,171.43
150,150,142.86,142.86
150,150,157.14,142.86
150,150,142.86,157.14
150,150,150.0,135.71
150,150,157.14,164.29
150,150,135.71,142.86
150,150,171.43,150.0
150,150,150.0,142.86
150,150,135.71,157.14
150,150,164.29,135.71
150,150,150.0,171.43
150,150,128.57,142.86
150,150,192.86,157.14
150,150,150.0,135.71
150,150,121.43,164.29
150,150,192.86,142.86
150,150,150.0,150.0
150,150,128.57,142.86
150,150,164.29,157.14
150,150,135.71,142.86
150,150,157.14,150.0
150,150,135.71,150.0
150,150,157.14,142.86
150,150,142.86,164.29
150,150,135.71,142.86
150,150,171.43,157.14
150,150,142.86,135.71
150,150,142.86,171.43
150,150,150.0,142.86
150,150,142.86,150.0
150,150,150.0,142.86
150,150,150.0,157.14
150,150,135.71,135.71
150,150,178.57,171.43
150,150,150.0,150.0
150,150,128.57,128.57
150,150,178.57,185.71
150,150,150.0,150.0
150,150,128.57,121.43
150,150,178.57,192.86
150,150,150.0,164.29
150,150,128.57,121.43
150,150,171.43,178.57
150,150,142.86,142.86

