PWM_Right,PWM_Left,RPM_Right,RPM_Left
170,170,,
170,170,,
170,170,,
170,170,,
170,170,,
170,170,0.0,0.0
170,170,,
170,170,0.0,0.0
170,170,38.1,38.1
170,170,78.57,78.57
170,170,119.05,119.05
170,170,123.81,123.81
170,170,123.81,123.81
170,170,123.81,123.81
170,170,121.43,121.43
170,170,123.81,123.81
170,170,169.05,176.19
170,170,219.05,228.57
170,170,264.29,276.19
170,170,257.14,257.14
170,170,238.1,226.19
170,170,216.67,202.38
170,170,207.14,200.0
170,170,200.0,207.14
170,170,197.62,200.0
170,170,188.1,180.95
170,170,180.95,171.43
170,170,176.19,180.95
170,170,178.57,190.48
170,170,178.57,178.57
170,170,176.19,159.52
170,170,169.05,161.9
170,170,171.43,183.33
170,170,171.43,188.1
170,170,173.81,164.29
170,170,171.43,152.38
170,170,171.43,169.05
170,170,169.05,192.86
170,170,171.43,183.33
170,170,169.05,150.0
170,170,173.81,150.0
170,170,166.67,173.81
170,170,169.05,197.62
170,170,166.67,180.95
170,170,173.81,150.0
170,170,173.81,150.0
170,170,169.05,178.57
170,170,161.9,195.24
170,170,166.67,176.19
170,170,176.19,145.24
170,170,180.95,157.14
170,170,164.29,188.1
170,170,159.52,192.86
170,170,166.67,161.9
170,170,183.33,142.86
170,170,176.19,164.29
170,170,159.52,200.0
170,170,157.14,195.24
170,170,176.19,161.9
170,170,188.1,140.48
170,170,171.43,159.52
170,170,152.38,192.86
170,170,157.14,190.48
170,170,183.33,159.52
170,170,188.1,142.86
170,170,164.29,166.67
170,170,150.0,190.48
170,170,164.29,183.33
170,170,190.48,150.0
170,170,183.33,150.0
170,170,154.76,173.81
170,170,150.0,192.86
170,170,171.43,176.19
170,170,195.24,150.0
170,170,180.95,159.52
170,170,152.38,185.71
170,170,152.38,190.48
170,170,173.81,161.9
170,170,195.24,142.86
170,170,176.19,166.67
170,170,152.38,192.86
170,170,154.76,188.1
170,170,178.57,152.38
170,170,190.48,150.0
170,170,169.05,180.95
170,170,150.0,197.62
170,170,159.52,176.19
170,170,185.71,135.71
170,170,188.1,152.38
170,170,161.9,185.71
170,170,147.62,202.38
170,170,166.67,171.43
170,170,190.48,140.48
170,170,185.71,154.76
170,170,154.76,192.86
170,170,150.0,197.62
170,170,171.43,169.05
170,170,192.86,133.33
170,170,180.95,154.76
170,170,150.0,185.71
170,170,152.38,197.62
170,170,173.81,164.29
170,170,197.62,145.24
170,170,178.57,161.9
170,170,152.38,190.48
170,170,150.0,188.1
170,170,176.19,157.14
170,170,192.86,147.62
170,170,176.19,173.81
170,170,150.0,192.86
170,170,154.76,180.95
170,170,178.57,145.24
170,170,190.48,150.0
170,170,169.05,180.95
170,170,150.0,195.24
170,170,159.52,173.81
170,170,185.71,142.86
170,170,188.1,157.14
170,170,161.9,183.33
170,170,147.62,192.86
170,170,164.29,166.67
170,170,190.48,147.62
170,170,180.95,164.29
170,170,154.76,188.1
170,170,150.0,185.71
170,170,173.81,152.38
170,170,195.24,147.62
170,170,178.57,173.81
170,170,152.38,197.62
170,170,150.0,180.95
170,170,176.19,147.62
170,170,192.86,150.0
170,170,176.19,178.57
170,170,147.62,195.24
170,170,154.76,176.19
170,170,178.57,147.62
170,170,195.24,154.76
170,170,171.43,180.95
170,170,150.0,192.86
170,170,157.14,169.05
170,170,183.33,147.62
170,170,190.48,159.52
170,170,166.67,185.71
170,170,147.62,188.1
170,170,161.9,157.14
170,170,188.1,150.0
170,170,188.1,171.43
170,170,159.52,195.24
170,170,147.62,180.95
170,170,169.05,147.62
170,170,195.24,150.0
170.0,170.0,171.07199999999997,168.92849999999999
