PWM_Right,PWM_Left,RPM_Right,RPM_Left
160,160,0.0,0.0
160,160,0.0,0.0
160,160,0.0,0.0
160,160,,
160,160,0.0,0.0
160,160,178.57,178.57
160,160,214.29,214.29
160,160,214.29,214.29
160,160,214.29,207.14
160,160,214.29,214.29
160,160,214.29,207.14
160,160,214.29,214.29
160,160,207.14,207.14
160,160,214.29,214.29
160,160,214.29,214.29
160,160,207.14,214.29
160,160,214.29,214.29
160,160,214.29,207.14
160,160,207.14,214.29
160,160,214.29,207.14
160,160,214.29,214.29
160,160,214.29,207.14
160,160,214.29,221.43
160,160,207.14,207.14
160,160,214.29,214.29
160,160,214.29,207.14
160,160,207.14,221.43
160,160,214.29,214.29
160,160,214.29,214.29
160,160,214.29,214.29
160,160,207.14,214.29
160,160,214.29,214.29
160,160,214.29,221.43
160,160,214.29,207.14
160.0,160.0,212.50249999999997,213.21599999999998
