PWM_Right,PWM_Left,RPM_Right,RPM_Left
75.0,75.0,126.428,116.075
80.0,80.0,138.57000000000005,127.856
85.0,85.0,149.643,137.85500000000005
90.0,90.0,159.2849999999999,146.43000000000004
95.0,95.0,168.57399999999998,154.2839999999999
100.0,100.0,176.42800000000005,162.50249999999997
105.0,105.0,183.925,169.64499999999995
110.0,110.0,191.07250000000008,175.35700000000003
115.0,115.0,196.07300000000004,180.71200000000005
120.0,120.0,201.785,187.49750000000003
125.0,125.0,206.0689999999999,192.50250000000008
130.0,130.0,212.5025,199.286
135.0,135.0,216.432,207.14149999999995
140.0,140.0,218.931,209.99999999999997
145.0,145.0,222.50099999999992,214.647
150.0,150.0,227.499,217.146
155.0,155.0,229.641,220.00199999999995
160.0,160.0,230.71200000000005,222.501
165.0,165.0,232.854,224.286
170.0,170.0,236.0675,228.57000000000008
175.0,175.0,239.6425,228.92700000000005
180.0,180.0,240.3575,232.854
185.0,185.0,242.86000000000004,233.568
190.0,190.0,245.002,233.211
195.0,195.0,247.858,235.71
200.0,200.0,247.50100000000003,237.855
205.0,205.0,248.215,239.6425
210.0,210.0,250.714,241.07250000000005
215.0,215.0,253.213,240.7150000000001
220.0,220.0,254.284,241.43
225.0,225.0,254.284,244.288
230.0,230.0,255.712,246.43
235.0,235.0,257.14050000000003,248.929
240.0,240.0,259.285,251.428
245.0,245.0,261.43,252.499
250.0,250.0,263.575,252.856
255.0,255.0,272.85800000000006,263.21750000000003
