PWM_Left,RPM_Left
105.0,68.03
105.0,68.03
105.0,68.03
105.0,68.03
105.0,68.03
105.0,68.03
105.0,68.03
105.0,68.03
105.0,68.03
105.0,103.45
105.0,103.45
105.0,103.45
105.0,103.45
105.0,103.45
105.0,103.45
105.0,103.45
105.0,103.45
105.0,140.85
105.0,140.85
105.0,140.85
105.0,140.85
105.0,140.85
105.0,140.85
105.0,140.85
105.0,140.85
105.0,139.86
105.0,139.86
105.0,139.86
105.0,139.86
105.0,139.86
105.0,139.86
105.0,139.86
105.0,139.86
105.0,178.57
105.0,178.57
105.0,178.57
105.0,178.57
105.0,178.57
105.0,178.57
105.0,178.57
105.0,178.57
105.0,145.99
105.0,145.99
105.0,145.99
105.0,145.99
105.0,145.99
105.0,145.99
105.0,145.99
105.0,145.99
105.0,145.99
105.0,145.99
105.0,145.99
105.0,145.99
105.0,145.99
105.0,145.99
105.0,145.99
105.0,142.86
105.0,142.86
105.0,142.86
105.0,142.86
105.0,142.86
105.0,142.86
105.0,142.86
105.0,142.86
105.0,145.99
105.0,145.99
105.0,145.99
105.0,145.99
105.0,145.99
105.0,145.99
105.0,145.99
105.0,145.99
105.0,144.93
105.0,144.93
105.0,144.93
105.0,144.93
105.0,144.93
105.0,144.93
105.0,144.93
105.0,144.93
105.0,139.86
105.0,139.86
105.0,139.86
105.0,139.86
105.0,139.86
105.0,139.86
105.0,139.86
105.0,139.86
105.0,145.99
105.0,145.99
105.0,145.99
105.0,145.99
105.0,145.99
105.0,145.99
105.0,145.99
105.0,182.48
105.0,182.48
105.0,182.48
105.0,182.48
105.0,182.48
105.0,182.48
105.0,182.48
105.0,182.48
105.0,141.84
105.0,141.84
105.0,141.84
105.0,141.84
105.0,141.84
105.0,141.84
105.0,141.84
105.0,141.84
105.0,141.84
105.0,136.05
105.0,136.05
105.0,136.05
105.0,136.05
105.0,136.05
105.0,136.05
105.0,136.05
105.0,136.05
105.0,138.89
105.0,138.89
105.0,138.89
105.0,138.89
105.0,138.89
105.0,138.89
105.0,138.89
105.0,138.89
105.0,141.84
105.0,141.84
105.0,141.84
105.0,141.84
105.0,141.84
105.0,141.84
105.0,141.84
105.0,141.84
105.0,179.86
105.0,179.86
105.0,179.86
105.0,179.86
105.0,179.86
105.0,179.86
105.0,179.86
105.0,144.93
105.0,144.93
105.0,144.93
105.0,144.93
105.0,144.93
105.0,144.93
105.0,144.93
105.0,144.93
110.0,71.94
110.0,71.94
110.0,71.94
110.0,71.94
