Timestamp,PWM_Left,PWM_Right,Serial_Data
1738026229.2911935,100,100,0.00
1738026229.2914424,100,100,0.00 | 0.00
1738026229.2917705,100,100,0.00 | 0.00
1738026229.292104,100,100,0.00 | 0.00
1738026229.2924275,100,100,0.00 | 0.00
1738026229.2927494,100,100,0.00 | 0.00
1738026229.2929757,100,100,0.00 | 0.00
1738026229.2932086,100,100,0.00 | 0.00
1738026229.293439,100,100,0.00 | 0.00
1738026229.2937183,100,100,0.00 | 0.00
1738026229.2939856,100,100,0.00 | 0.00
1738026229.2942421,100,100,0.00 | 0.00
1738026229.294499,100,100,0.00 | 0.00
1738026229.2947843,100,100,0.00 | 0.00
1738026229.2950656,100,100,0.00 | 0.00
1738026229.295345,100,100,0.00 | 0.00
1738026229.2956367,100,100,0.00 | 0.00
1738026229.2958922,100,100,0.00 | 0.00
1738026229.2961786,100,100,0.00 | 0.00
1738026229.2964292,100,100,0.00 | 0.00
1738026229.2967038,100,100,0.00 | 0.00
1738026229.2969642,100,100,0.00 | 0.00
1738026229.297246,100,100,0.00 | 0.00
1738026229.2975078,100,100,0.00 | 0.00
1738026229.297809,100,100,0.00 | 0.00
1738026229.2980716,100,100,0.00 | 0.00
1738026229.2983408,100,100,0.00 | 0.00
1738026229.298626,100,100,0.00 | 0.00
1738026229.2989078,100,100,0.00 | 0.00
1738026229.2991676,100,100,0.00 | 0.00
1738026229.2994385,100,100,0.00 | 0.00
1738026229.299721,100,100,0.00 | 0.00
1738026229.2999825,100,100,0.00 | 0.00
1738026229.300237,100,100,0.00 | 0.00
1738026229.3004997,100,100,0.00 | 0.00
1738026229.3007755,100,100,0.00 | 0.00
1738026229.3010454,100,100,0.00 | 0.00
1738026229.3012908,100,100,0.00 | 0.00
1738026229.3015878,100,100,0.00 | 0.00
1738026229.3018737,100,100,0.00 | 0.00
1738026229.3021379,100,100,0.00 | 0.00
1738026229.3023837,100,100,0.00 | 0.00
1738026229.3026757,100,100,0.00 | 0.00
1738026229.3029268,100,100,0.00 | 0.00
1738026229.303211,100,100,0.00 | 0.00
1738026229.303492,100,100,0.00 | 0.00
1738026229.30377,100,100,0.00 | 0.00
1738026229.3040636,100,100,0.00 | 0.00
1738026229.3043275,100,100,0.00 | 0.00
1738026229.3046257,100,100,0.00 | 0.00
1738026229.304872,100,100,0.00 | 0.00
1738026229.3051527,100,100,0.00 | 0.00
1738026229.3054128,100,100,0.00 | 0.00
1738026229.3057094,100,100,0.00 | 0.00
1738026229.3059685,100,100,0.00 | 0.00
1738026229.3062334,100,100,0.00 | 0.00
1738026229.3064966,100,100,0.00 | 0.00
1738026229.3067908,100,100,0.00 | 0.00
1738026229.3070629,100,100,0.00 | 0.00
1738026229.3073633,100,100,0.00 | 0.00
1738026229.307663,100,100,0.00 | 0.00
1738026229.307926,100,100,0.00 | 0.00
1738026229.3082094,100,100,0.00 | 0.00
1738026229.3084652,100,100,0.00 | 0.00
1738026229.308774,100,100,0.00 | 0.00
1738026229.3090577,100,100,0.00 | 0.00
1738026229.3093517,100,100,0.00 | 0.00
1738026229.3096275,100,100,0.00 | 0.00
1738026229.3099174,100,100,0.00 | 0.00
1738026229.3102262,100,100,0.00 | 0.00
1738026229.3107843,100,100,0.00 | 0.00
1738026229.3111484,100,100,0.00 | 0.00
1738026229.311747,100,100,0.00 | 0.00
1738026229.3121645,100,100,0.00 | 0.00
1738026229.312441,100,100,0.00 | 0.00
1738026229.3127496,100,100,0.00 | 0.00
1738026229.3129072,100,100,0.00 | 0.00
1738026229.313055,100,100,0.00 | 0.00
1738026229.3131979,100,100,0.00 | 0.00
1738026229.3133438,100,100,0.00 | 0.00
1738026229.3134754,100,100,0.00 | 0.00
1738026229.3136206,100,100,0.00 | 0.00
1738026229.3137531,100,100,0.00 | 0.00
1738026229.3139062,100,100,0.00 | 0.00
1738026229.3141017,100,100,0.00 | 0.00
1738026229.3142455,100,100,0.00 | 0.00
1738026229.3143778,100,100,0.00 | 0.00
1738026229.3145127,100,100,0.00 | 0.00
1738026229.314664,100,100,0.00 | 0.00
1738026229.3147984,100,100,0.00 | 0.00
1738026229.314986,100,100,0.00 | 0.00
1738026229.3151305,100,100,0.00 | 0.00
1738026229.3152664,100,100,0.00 | 0.00
1738026229.3154,100,100,0.00 | 0.00
1738026229.3155332,100,100,0.00 | 0.00
1738026229.3156831,100,100,0.00 | 0.00
1738026229.3158138,100,100,0.00 | 0.00
1738026229.3159444,100,100,0.00 | 0.00
1738026229.316075,100,100,0.00 | 0.00
1738026229.3162055,100,100,0.00 | 0.00
1738026229.3163357,100,100,0.00 | 0.00
1738026229.316468,100,100,0.00 | 0.00
1738026229.3166156,100,100,0.00 | 0.00
1738026229.3167489,100,100,0.00 | 0.00
1738026229.31688,100,100,0.00 | 0.00
1738026229.3170104,100,100,0.00 | 0.00
1738026229.3171406,100,100,0.00 | 0.00
1738026229.3172717,100,100,0.00 | 0.00
1738026229.3174884,100,100,0.00 | 0.00
1738026229.317755,100,100,0.00 | 0.00
1738026229.3180106,100,100,0.00 | 0.00
1738026229.3182576,100,100,0.00 | 0.00
1738026229.318509,100,100,0.00 | 0.00
1738026229.3187742,100,100,0.00 | 0.00
1738026229.3190057,100,100,0.00 | 0.00
1738026229.319326,100,100,0.00 | 0.00
