PWM_Right,PWM_Left,Velocity_Total
100,105,0.38888741405392013
105,110,0.42110519861769546
112,115,0.46683627611780826
115,120,0.4266069807355417
120,121,0.46649987019308453
125,130,0.48032821915221924
126,132,0.4929249623620814
130,133,0.5182999119891524
135,138,0.5241072817936074
140,143,0.4893715051228808
145,148,0.5295324476378679
150,153,0.5489037037561787
155,158,0.5030182943634297
160,163,0.5548922036989776
165,168,0.5725980634545677
170,173,0.5814882699107766
175,178,0.585587342861894
180,183,0.5834915442025405
185,188,0.6067236776727895
191,193,0.5866805242697335
195,197,0.5940117979220347
195,198,0.6050576207546172
200,203,0.622888962629721
200,205,0.6198469226337967
205,208,0.6141834851362832
210,213,0.6377590774835687
215,218,0.6214936309013125
220,214,0.6674652384889441
225,220,0.6741702058839896
230,225,0.6309060225028945
235,230,0.6173444424364597
240,232,0.641462025606863
245,237,0.6356406564765446
250,245,0.6628432505731312
255,252,0.6630830158938424
