PWM_Right,PWM_Left,RPM_Right,RPM_Left
90,90,138.572,146.43
90,90,137.85600000000002,146.43
95,95,144.288,154.998
95,95,144.288,155.712
100,100,150.714,163.574
100,100,152.142,163.574
105,105,162.858,170.002
105,105,162.14000000000001,170.002
110,110,172.14399999999998,176.42799999999997
110,110,167.144,176.42799999999997
115,115,181.426,182.85399999999998
115,115,181.426,183.568
120,120,183.568,187.142
120,120,182.85399999999998,186.426
125,125,186.428,192.14600000000002
125,125,187.142,191.432
130,130,190.002,197.144
130,130,189.286,196.43
135,135,191.43199999999996,200.714
135,135,192.14600000000002,201.42799999999997
140,140,197.144,203.57
140,140,197.858,203.57
145,145,198.57200000000003,206.426
145,145,200.714,207.85399999999998
150,150,201.42799999999997,209.996
150,150,200.0,211.42799999999997
155,155,202.856,213.57399999999998
155,155,204.28399999999996,213.57399999999998
160,160,204.28400000000002,216.43199999999996
160,160,206.42600000000002,216.43200000000002
165,165,206.426,219.288
165,165,207.13999999999996,218.574
170,170,211.42799999999997,222.144
170,170,209.998,221.43
175,175,212.142,223.57200000000003
175,175,212.144,223.57200000000003
180,180,213.57200000000003,225.714
180,180,212.856,225.714
185,185,215.002,228.57
185,185,216.43200000000002,227.856
190,190,217.85999999999999,229.99799999999996
190,190,217.144,229.28399999999996
195,195,220.00200000000004,232.13999999999996
195,195,221.43,231.426
200,200,221.43,233.56800000000004
200,200,220.71600000000004,233.56799999999998
205,205,221.43,234.996
205,205,221.43,234.996
210,210,221.43,235.70999999999998
210,210,222.144,235.70999999999998
215,215,222.858,236.42600000000002
215,215,223.57200000000003,237.142
220,220,224.286,238.57399999999998
220,220,223.57200000000003,238.57399999999998
225,225,225.0,240.004
225,225,225.714,240.71600000000004
230,230,225.714,242.14600000000002
230,230,227.856,241.43200000000002
235,235,229.28400000000002,242.86000000000004
235,235,227.856,242.86000000000004
240,240,229.28399999999996,245.002
240,240,227.856,245.002
245,245,229.28400000000002,245.71600000000004
245,245,227.142,245.71599999999998
250,250,228.57,247.144
250,250,228.57,247.144
255,255,235.712,257.14
255,255,234.996,257.14
