time,raw_x,raw_y,moving_avg_x,moving_avg_y,kalman_x,kalman_y
1726839640.2853281,-532.4464721679688,-401.341064453125,-532.4464721679688,-401.341064453125,-531.1187417002416,-400.34026383357207
1726839640.28715,-532.9603271484375,-397.1637878417969,-532.7033996582031,-399.25242614746094,-535.5133938428526,-399.1324000005807
1726839640.2963567,-531.8823852539062,-398.3787536621094,-532.4297281901041,-398.96120198567706,-533.885938665255,-398.8049482778781
1726839640.3270957,-532.3231811523438,-398.3978271484375,-532.4030914306641,-398.8203582763672,-533.4831014035736,-398.67225139375614
1726839640.362424,-532.9910278320312,-399.7819519042969,-532.5206787109375,-399.01267700195314,-533.6348265194508,-399.4423547511872
1726839640.3946407,-532.3729248046875,-399.6122741699219,-532.5059692382813,-398.6669189453125,-533.3184390310707,-399.7267202141649
1726839640.4266088,-533.490478515625,-398.80596923828125,-532.6119995117188,-398.9953552246094,-533.6445464924085,-399.4590842945517
1726839640.4630332,-531.9078979492188,-398.9283447265625,-532.6171020507812,-399.1052734375,-533.0667334079462,-399.32106058396545
1726839640.526185,-531.9525756835938,-399.2889404296875,-532.5429809570312,-399.28349609375,-532.6666438124739,-399.37195896401914
1726839640.5976934,-532.818603515625,-401.5697937011719,-532.50849609375,-399.641064453125,-532.7515218881894,-400.3868408884021
1726839640.628565,-533.17578125,-399.3329772949219,-532.6690673828125,-399.585205078125,-532.9600073213539,-400.12201396386524
1726839640.6623108,-533.0983276367188,-398.26422119140625,-532.5906372070312,-399.47685546875,-533.0687111049223,-399.43304268067055
1726839640.6941152,-532.6849975585938,-399.3950500488281,-532.7460571289063,-399.5701965332031,-532.958458025752,-399.3951263562548
1726839640.7645025,-531.6146850585938,-398.5143737792969,-532.6784790039062,-399.415283203125,-532.4110088548538,-398.9990120081007
1726839640.7941158,-532.3134155273438,-399.30975341796875,-532.57744140625,-398.96327514648436,-532.3077787535506,-399.05727850630535
1726839640.8282971,-532.7330932617188,-398.7947692871094,-532.4889038085937,-398.8556335449219,-532.4273567106023,-398.89904724180667
1726839640.8631868,-532.9949951171875,-399.4140319824219,-532.4682373046875,-399.085595703125,-532.6402287371064,-399.0600045917494
1726839640.8948357,-531.5982055664062,-399.6839294433594,-532.25087890625,-399.14337158203125,-532.2072063925652,-399.3052373817597
1726839640.9261646,-532.32177734375,-398.5281066894531,-532.3922973632813,-399.1461181640625,-532.2002741271767,-398.9958102198712
1726839640.963986,-533.10693359375,-398.9194641113281,-532.5510009765625,-399.06806030273435,-532.5428917970864,-398.9339537140044
1726839640.9954581,-532.7196044921875,-400.0580139160156,-532.5483032226563,-399.3207092285156,-532.6358941085577,-399.38051098511414
1726839641.0267074,-530.99365234375,-398.9160461425781,-532.1480346679688,-399.2211120605469,-531.9651546995619,-399.22489567787295
1726839641.0644693,-530.8660888671875,-397.9747619628906,-532.001611328125,-398.8792785644531,-531.4209698602156,-398.70239997584645
1726839641.09509,-532.026611328125,-399.173095703125,-531.942578125,-399.0082763671875,-531.5414375035429,-398.83287714553467
1726839641.1270242,-532.2733154296875,-398.80413818359375,-531.7758544921875,-398.98521118164064,-531.7675672706506,-398.7876838739063
1726839641.1644955,-530.8934326171875,-399.4461975097656,-531.4106201171875,-398.86284790039065,-531.365707127466,-399.0362003729798
1726839641.196713,-531.2081909179688,-399.1884765625,-531.4535278320312,-398.917333984375,-531.2176119365935,-399.11364209747404
1726839641.2966485,-531.0608520507812,-398.6868896484375,-531.49248046875,-399.05975952148435,-531.0688275639159,-398.95313901935015
1726839641.3286645,-530.861328125,-398.42388916015625,-531.259423828125,-398.9099182128906,-530.8976336062827,-398.7205379919805
1726839641.3644722,-530.6104736328125,-397.1324462890625,-530.92685546875,-398.57557983398436,-530.6887058543412,-398.00632348162844
1726839641.3966959,-529.4821166992188,-398.763671875,-530.6445922851562,-398.43907470703124,-530.0808137956061,-398.19472234003734
1726839641.428395,-530.7388305664062,-398.693603515625,-530.5507202148438,-398.34010009765626,-530.2007917006962,-398.33434803120537
1726839641.4643705,-529.7753295898438,-398.911376953125,-530.2936157226562,-398.38499755859374,-529.918216284888,-398.5457034283078
1726839641.496731,-531.1311645507812,-398.9154357910156,-530.3475830078125,-398.4833068847656,-530.3163116610066,-398.7082202332656
1726839641.5284066,-530.0457763671875,-398.6800842285156,-530.2346435546875,-398.79283447265624,-530.1716220227248,-398.72394791169035
1726839641.562295,-529.0187377929688,-399.21795654296875,-530.1419677734375,-398.88369140625,-529.6386129838374,-398.95677782709333
1726839641.5938435,-529.8265380859375,-398.71258544921875,-529.9595092773437,-398.8874877929687,-529.608693632009,-398.9040333118525
1726839641.6304548,-530.8472290039062,-399.75030517578125,-530.1738891601562,-399.0552734375,-530.0484385401883,-399.29398366113
1726839641.6622581,-530.3646240234375,-400.14508056640625,-530.0205810546875,-399.30120239257815,-530.1820450972103,-399.7349272377294
1726839641.696761,-530.42626953125,-399.53839111328125,-530.0966796875,-399.4728637695313,-530.3046654363725,-399.77482827059356
1726839641.762201,-530.5603637695312,-399.4955749511719,-530.4050048828125,-399.52838745117185,-530.445202741956,-399.7542315847387
1726839641.7971263,-531.6007690429688,-400.7505187988281,-530.7598510742188,-399.93597412109375,-530.9803555277283,-400.2477415319988
1726839641.8339539,-530.392822265625,-401.3310852050781,-530.6689697265625,-400.25213012695315,-530.841583581093,-400.83215928410243
1726839641.8962452,-527.6300659179688,-400.45904541015625,-530.1220581054688,-400.31492309570314,-529.5400110546722,-400.85138739838845
1726839641.9277852,-530.4007568359375,-401.9432067871094,-530.1169555664062,-400.79588623046874,-529.763480550519,-401.4508374758773
1726839641.9636378,-529.4348754882812,-403.2296447753906,-529.8918579101562,-401.5427001953125,-529.5500662757817,-402.3949297641084
1726839642.2258766,-527.0678100585938,-399.41937255859375,-528.9852661132812,-401.27647094726564,-528.4094265479207,-401.40889801016453
1726839642.326001,-527.4197387695312,-398.6535339355469,-528.3906494140625,-400.7409606933594,-527.7589321249483,-400.30301425841577
1726839642.3939862,-529.9326171875,-399.5227355957031,-528.8511596679688,-400.55369873046874,-528.4158569171207,-399.8592284332837
1726839642.5940566,-532.1588134765625,-400.13726806640625,-529.2027709960937,-400.1925109863281,-529.9020905838554,-399.82892483309104
1726839642.6281657,-534.4556274414062,-400.7949523925781,-530.2069213867187,-399.7055725097656,-531.9747072630802,-400.1239502155653
1726839642.6645768,-532.5648193359375,-399.9165954589844,-531.3063232421875,-399.8050170898438,-532.6297574684289,-399.9924925826012
1726839642.7276573,-533.787353515625,-400.4322814941406,-532.5798461914062,-400.1607666015625,-533.5189096712787,-400.1278009394326
1726839642.7627046,-529.4877319335938,-398.2276611328125,-532.490869140625,-399.90175170898436,-532.2326644888942,-399.30176575511496
1726839642.795721,-532.4987182617188,-401.02288818359375,-532.5588500976562,-400.07887573242186,-532.4774696902639,-399.89883690924455
1726839642.8647463,-489.59722900390625,-385.6723327636719,-523.5871704101562,-397.0543518066406,-514.396018958922,-393.84192238244754
1726839642.8967664,-460.2735900878906,-374.30450439453125,-509.12892456054686,-391.93193359375,-488.8790525331723,-384.6526895703494
1726839642.928478,-437.9237365722656,-364.9844055175781,-489.956201171875,-384.8423583984375,-461.63934665305015,-374.2979524355318
1726839642.9647646,-420.5490417480469,-359.1235656738281,-468.1684631347656,-377.02153930664065,-436.0466363088339,-364.8532811941716
1726839642.9972596,-398.6035461425781,-352.44659423828125,-441.3894287109375,-367.3062805175781,-410.3410406264886,-355.96977760925915
1726839643.0262105,-378.8583679199219,-347.4824523925781,-419.2416564941406,-359.6683044433594,-385.9085035572538,-348.37333279102313
1726839643.0651066,-360.88671875,-336.01141357421875,-399.3642822265625,-352.0096862792969,-363.46437557611773,-339.03540850660676
1726839643.0967505,-343.2626953125,-328.9696960449219,-380.43207397460935,-344.80674438476564,-342.7913557579787,-330.3485684788033
1726839643.1966145,-286.3342590332031,-307.3778991699219,-353.5891174316406,-334.4576110839844,-306.7675985244261,-316.031812701463
1726839643.2260816,-264.90643310546875,-299.69921875,-326.8496948242188,-323.90813598632815,-274.7525761475565,-303.6067192351298
1726839643.2651002,-247.6182403564453,-293.55029296875,-300.60166931152344,-313.1217041015625,-247.93744221933764,-293.42863451079086
1726839643.2969382,-228.80287170410156,-287.5607604980469,-274.1848999023438,-303.43157348632815,-224.486370012664,-285.042894413281
1726839643.327247,-211.7574462890625,-280.5633239746094,-247.88385009765625,-293.75029907226565,-204.21938877941187,-277.516963393455
1726839643.3645177,-195.4564971923828,-273.4322814941406,-229.7082977294922,-286.9611755371094,-186.44568435690383,-270.48552358441486
1726839643.3964036,-174.72857666015625,-267.0259704589844,-211.6727264404297,-280.42652587890626,-168.38349995153322,-264.0356979232782
1726839643.4262059,-155.60171508789062,-262.29315185546875,-193.26942138671876,-274.17509765625,-150.54959310217478,-258.6359832653733
1726839643.496553,-122.2120132446289,-247.7789764404297,-171.9512496948242,-266.21874084472654,-126.64946252812481,-249.75670390637248
1726839643.5261974,-103.43060302734375,-243.26707458496094,-150.28588104248047,-258.7594909667969,-104.44781679092158,-242.5205608365099
1726839643.5948722,-69.05667877197266,-232.4128875732422,-125.00591735839843,-250.55561218261718,-76.96628719777097,-233.8275422340946
1726839643.627309,-51.591915130615234,-226.7327423095703,-100.37858505249024,-242.49696655273436,-52.891518554482886,-226.26266023884386
1726839643.6621604,-36.30195617675781,-216.33615112304688,-76.51863327026368,-233.30556640625,-32.40914364067416,-217.54528835797927
1726839643.6970031,-18.74738121032715,-212.80294799804688,-55.82570686340332,-226.31036071777345,-13.588027728349306,-210.90046195490183
1726839643.725681,-2.1932907104492188,-208.1287841796875,-35.57824440002442,-219.28270263671874,3.7166810040703684,-205.29682694220972
1726839643.7648451,17.320415496826172,-200.66445922851562,-18.30282554626465,-212.93301696777343,21.32588709486447,-199.20651777234679
1726839643.7944968,37.17417907714844,-191.529296875,-0.5496067047119141,-205.89232788085937,39.458966874497065,-191.97912976518234
1726839643.8270872,49.29636001586914,-192.43447875976562,16.570056533813478,-201.11199340820312,54.7935594888121,-188.15820779074102
1726839643.893971,83.15763854980469,-178.5619659423828,36.95106048583985,-194.2637969970703,77.40867198879441,-180.52603138511932
1726839643.9274833,92.3519515991211,-178.23294067382812,55.86010894775391,-188.28462829589844,94.9392475983886,-175.78557251027286
1726839644.028362,153.7509765625,-162.17091369628906,83.14622116088867,-180.58591918945314,130.82762451420916,-166.49821105995747
1726839644.096543,179.5646514892578,-148.67213439941406,111.62431564331055,-172.01448669433594,164.8949542367955,-154.9577086292458
1726839644.1647274,209.31613159179688,-143.36058044433594,143.6282699584961,-162.19970703125,198.70233581496285,-145.38909183066949
1726839644.196671,226.7017059326172,-138.87948608398438,172.3370834350586,-154.26321105957032,226.6721388024676,-137.76408179055392
1726839644.227331,240.92446899414062,-133.2400360107422,202.0515869140625,-145.26463012695314,248.80537397629774,-131.1021717342342
1726839644.2647045,251.9288330078125,-129.8932342529297,221.687158203125,-138.80909423828126,265.36578743486336,-126.07781916627084
1726839644.3285313,286.1271057128906,-118.86016845703125,242.99964904785156,-132.8467010498047,287.9775553194184,-118.91019566387611
1726839644.3621137,298.9289855957031,-116.02999877929688,260.92221984863284,-127.38058471679688,306.22361209487065,-113.57975569592737
1726839644.3936138,315.6974792480469,-115.40043640136719,278.72137451171875,-122.68477478027344,323.05960268070294,-110.50905238901673
1726839644.4619555,342.9154052734375,-105.7800064086914,299.11956176757815,-117.19276885986328,343.516199569876,-105.18066067063009
1726839644.4962702,358.3439636230469,-106.1656494140625,320.402587890625,-112.44725189208984,361.77244772920767,-102.34387332017883
1726839644.6621537,432.63458251953125,-87.24129486083984,349.70408325195314,-106.12347717285157,403.46435444313477,-93.08300267411754
1726839644.694256,443.6593017578125,-83.61904907226562,378.650146484375,-99.64128723144532,435.25755079616107,-85.59085599452224
1726839644.7647815,474.746337890625,-77.52388000488281,410.4599182128906,-92.06597595214843,467.651914758295,-78.48065549886152
1726839644.796112,484.70562744140625,-74.16880798339844,438.8179626464844,-85.74373626708984,491.2767893697344,-72.86301202423361
1726839644.8274589,501.8526916503906,-71.61077117919922,467.51970825195315,-78.83276062011718,511.4450904511595,-68.68514408823252
1726839644.8940094,526.4744262695312,-67.7759017944336,486.2876770019531,-74.93968200683594,532.4763596941364,-64.96677503042085
1726839644.9644856,554.5906982421875,-58.12949752807617,508.4739562988281,-69.84177169799804,555.8735885839151,-59.03147585055863
1726839644.9964054,566.449462890625,-58.01395797729492,526.8145812988281,-65.93978729248047,574.2316821627265,-55.47166584983455
1726839645.0275152,581.6614990234375,-54.12075424194336,546.2057556152344,-61.93017654418945,590.4186359811687,-52.04290820240737
1726839645.1967223,642.6326293945312,-48.82109069824219,574.3617431640625,-57.372240447998045,624.6906348537018,-48.04225316415834
1726839645.2274017,655.4896240234375,-45.09072494506836,600.1647827148438,-52.835205078125,651.7899449083097,-44.23995250911432
1726839645.2966208,678.802734375,-38.041900634765625,625.0071899414063,-48.81768569946289,677.6776937510491,-39.149780490767824
1726839645.3604264,704.380615234375,-25.88753890991211,652.5934204101562,-42.39240188598633,703.55447892554,-30.93991490491461
1726839645.494004,751.5166625976562,-31.353073120117188,686.564453125,-37.83886566162109,738.5508019813229,-27.997454394605942
1726839645.6286438,793.3846435546875,-25.601774215698242,716.7148559570312,-33.1950023651123,777.8568793236005,-24.22171271893843
1726839645.694113,815.6386108398438,-23.492244720458984,748.7446533203125,-28.87530632019043,811.5846817596812,-21.301798432942686
