PWM_Right,PWM_Left,RPM_Right,RPM_Left
100,90,0,0
100,90,20,30
100,90,20,30
100,90,160,160
100,90,160,160
100,90,180,190
100,90,180,190
100,90,190,190
100,90,180,180
100,90,180,180
100,90,180,180
100,90,180,180
100,90,180,170
100,90,180,170
100,90,180,170
100,90,180,120
100,90,180,120
100,90,180,120
100,90,180,90
100,90,180,90
100,90,180,90
100,90,180,60
100,90,180,60
100,90,190,60
100,90,190,60
100,90,190,60
100,90,180,50
100,90,180,50
100,90,180,50
100,90,180,50
100,90,180,50
100,90,180,50
100,90,180,50
100,90,180,50
100,90,180,50
100,90,179,59
100,90,179,59
100,90,179,59
100,90,179,59
100,90,179,59
100,90,180,60
100,90,180,170
100,90,180,170
100,90,180,170
100,90,190,190
100,90,190,190
100,90,190,190
100,90,180,190
100,90,180,190
100,90,180,190
100,90,180,190
100,90,180,190
100,90,180,190
100,90,180,190
100,90,180,190
100,90,180,190
100,90,180,190
100,90,190,190
100,90,190,190
100,90,180,190
100,90,180,190
100,90,190,190
100,90,190,190
100,90,180,190
100,90,180,190
100,90,190,190
100,90,190,190
100,90,190,190
100,90,190,190
100,90,180,190
100,90,180,190
100,90,180,190
100,90,190,190
100,90,190,190
100,90,190,190
100,90,180,190
100,90,180,190
100,90,180,190
100,90,180,200
100,90,190,190
100,90,190,190
100,90,190,190
100,90,190,190
100,90,190,190
100,90,190,190
100,90,180,190
100,90,180,190
100,90,190,190
100,90,190,190
100,90,190,190
100,90,190,190
100,90,180,200
100,90,180,200
100,90,180,200
100,90,180,190
100,90,180,190
100,90,180,190
0,0,180,190
0,0,180,190
0,0,180,190
0,0,110,110
0,0,110,110
0,0,110,110
0,0,0,10
0,0,0,10
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
